item_id,safety_stock,lead_time_days,reorder_threshold,last_updated,rule_owner,failure_scenario
ITEM_0000,10,8,219,2024-06-03,Charlie,SAFETY_STOCK_INSUFFICIENT
ITEM_0000,97,9,277,2024-08-19,Alice,FORECAST_UNDERESTIMATED
ITEM_0000,66,5,166,2024-08-04,Diana,FORECAST_UNDERESTIMATED
ITEM_0000,87,6,97,2024-07-08,Bob,THRESHOLD_TOO_LOW
ITEM_0000,52,10,62,2024-05-29,Alice,THRESHOLD_TOO_LOW
ITEM_0001,13,6,206,2024-05-18,Bob,SAFETY_STOCK_INSUFFICIENT
ITEM_0001,56,5,156,2024-04-16,Alice,SUPPLIER_DELAY
ITEM_0001,94,6,104,2024-08-27,Bob,THRESHOLD_TOO_LOW
ITEM_0001,55,8,215,2024-08-17,Charlie,SUPPLIER_DELAY
ITEM_0001,17,5,186,2024-05-14,Alice,SAFETY_STOCK_INSUFFICIENT
ITEM_0002,94,6,214,2024-04-17,Alice,LEAD_TIME_WRONG
ITEM_0002,86,5,96,2024-08-06,Charlie,THRESHOLD_TOO_LOW
ITEM_0002,65,5,165,2024-07-09,Diana,STALE_FORECAST
ITEM_0002,17,5,173,2024-08-02,Alice,SAFETY_STOCK_INSUFFICIENT
ITEM_0002,80,9,260,2024-08-21,Bob,SUPPLIER_DELAY
ITEM_0003,68,6,78,2024-04-22,Charlie,THRESHOLD_TOO_LOW
ITEM_0003,85,8,95,2024-07-21,Charlie,THRESHOLD_TOO_LOW
ITEM_0003,86,8,96,2024-07-18,Alice,THRESHOLD_TOO_LOW
ITEM_0003,12,9,261,2024-07-17,Charlie,SAFETY_STOCK_INSUFFICIENT
ITEM_0003,69,8,229,2024-05-19,Alice,SUPPLIER_DELAY
ITEM_0004,70,5,170,2024-09-01,Diana,FORECAST_UNDERESTIMATED
ITEM_0004,28,6,201,2024-06-04,Charlie,SAFETY_STOCK_INSUFFICIENT
ITEM_0004,84,7,224,2024-07-11,Charlie,LEAD_TIME_WRONG
ITEM_0004,100,10,300,2024-07-14,Bob,NO_FAILURE
ITEM_0004,83,8,243,2024-08-15,Charlie,NO_FAILURE
ITEM_0005,22,9,271,2024-06-01,Diana,SAFETY_STOCK_INSUFFICIENT
ITEM_0005,76,5,176,2024-08-19,Bob,SUPPLIER_DELAY
ITEM_0005,60,10,260,2024-08-09,Alice,FORECAST_UNDERESTIMATED
ITEM_0005,81,7,221,2024-07-23,Diana,FORECAST_UNDERESTIMATED
ITEM_0005,79,8,89,2024-05-13,Alice,THRESHOLD_TOO_LOW
ITEM_0006,71,10,271,2024-07-16,Alice,FORECAST_UNDERESTIMATED
ITEM_0006,54,8,64,2024-04-05,Alice,THRESHOLD_TOO_LOW
ITEM_0006,26,5,179,2024-06-02,Charlie,SAFETY_STOCK_INSUFFICIENT
ITEM_0006,52,9,62,2024-04-22,Alice,THRESHOLD_TOO_LOW
ITEM_0006,90,9,270,2024-08-18,Diana,FORECAST_UNDERESTIMATED
ITEM_0007,62,8,222,2024-06-26,Bob,LEAD_TIME_WRONG
ITEM_0007,99,6,219,2024-06-23,Bob,SUPPLIER_DELAY
ITEM_0007,25,10,300,2024-06-19,Bob,SAFETY_STOCK_INSUFFICIENT
ITEM_0007,90,9,270,2024-08-02,Bob,FORECAST_UNDERESTIMATED
ITEM_0007,97,10,297,2024-08-19,Charlie,STALE_FORECAST
ITEM_0008,75,10,275,2024-07-12,Bob,SUPPLIER_DELAY
ITEM_0008,59,8,69,2024-06-26,Alice,THRESHOLD_TOO_LOW
ITEM_0008,56,7,196,2024-08-20,Diana,SUPPLIER_DELAY
ITEM_0008,51,5,61,2024-06-13,Alice,THRESHOLD_TOO_LOW
ITEM_0008,67,8,227,2024-05-18,Diana,SUPPLIER_DELAY
ITEM_0009,61,9,241,2024-04-27,Bob,LEAD_TIME_WRONG
ITEM_0009,54,6,174,2024-04-30,Bob,FORECAST_UNDERESTIMATED
ITEM_0009,25,7,233,2024-04-30,Charlie,SAFETY_STOCK_INSUFFICIENT
ITEM_0009,81,9,261,2024-05-13,Alice,SUPPLIER_DELAY
ITEM_0009,91,6,101,2024-07-05,Alice,THRESHOLD_TOO_LOW
ITEM_0010,22,10,276,2024-07-20,Bob,SAFETY_STOCK_INSUFFICIENT
ITEM_0010,82,8,242,2024-06-23,Alice,FORECAST_UNDERESTIMATED
ITEM_0010,63,7,203,2024-05-03,Alice,LEAD_TIME_WRONG
ITEM_0010,60,10,260,2024-05-05,Diana,NO_FAILURE
ITEM_0010,90,5,190,2024-07-17,Diana,FORECAST_UNDERESTIMATED
ITEM_0011,24,10,269,2024-07-28,Diana,SAFETY_STOCK_INSUFFICIENT
ITEM_0011,52,5,152,2024-04-08,Bob,FORECAST_UNDERESTIMATED
ITEM_0011,98,7,238,2024-05-27,Alice,FORECAST_UNDERESTIMATED
ITEM_0011,12,7,214,2024-05-25,Charlie,SAFETY_STOCK_INSUFFICIENT
ITEM_0011,80,5,180,2024-07-02,Charlie,FORECAST_UNDERESTIMATED
ITEM_0012,54,5,64,2024-06-18,Charlie,THRESHOLD_TOO_LOW
ITEM_0012,74,8,234,2024-06-03,Charlie,NO_FAILURE
ITEM_0012,75,5,175,2024-05-23,Alice,FORECAST_UNDERESTIMATED
ITEM_0012,67,9,247,2024-04-10,Charlie,FORECAST_UNDERESTIMATED
ITEM_0012,88,5,188,2024-05-18,Diana,STALE_FORECAST
ITEM_0013,55,9,235,2024-06-06,Bob,FORECAST_UNDERESTIMATED
ITEM_0013,60,8,220,2024-04-04,Diana,STALE_FORECAST
ITEM_0013,72,9,82,2024-06-29,Diana,THRESHOLD_TOO_LOW
ITEM_0013,61,8,221,2024-05-24,Diana,FORECAST_UNDERESTIMATED
ITEM_0013,75,9,255,2024-04-13,Diana,SUPPLIER_DELAY
ITEM_0014,12,10,259,2024-08-13,Alice,SAFETY_STOCK_INSUFFICIENT
ITEM_0014,77,9,257,2024-07-04,Diana,STALE_FORECAST
